video_category,channel_country,content_language,upload_day,video_length_bucket,traffic_source,device_type,viewer_age_group,subscriber_status,engagement_level
Gaming,USA,Japanese,Sunday,10-20 min,Search,Tablet,18-24,Subscribed,High
Lifestyle,UAE,Urdu,Saturday,20-40 min,Notifications,Smart TV,35-44,Subscribed,Medium
Entertainment,India,English,Wednesday,<5 min,Search,Mobile,45-54,Subscribed,Very Low
Travel,USA,Hindi,Thursday,>40 min,Playlists,Tablet,13-17,Subscribed,Very Low
News,USA,Spanish,Wednesday,10-20 min,Notifications,Smart TV,18-24,Subscribed,Very High
Music,USA,Hindi,Monday,5-10 min,Notifications,Smart TV,25-34,Not Subscribed,Medium
Travel,Pakistan,German,Sunday,>40 min,External,Tablet,45-54,Not Subscribed,Medium
Sports,UK,Urdu,Tuesday,20-40 min,Playlists,Game Console,55+,Not Subscribed,Low
Education,Germany,Hindi,Thursday,10-20 min,Search,Tablet,55+,Subscribed,High
Sports,USA,Urdu,Monday,5-10 min,Suggested,Smart TV,45-54,Subscribed,High
Entertainment,Australia,Bengali,Sunday,>40 min,External,Smart TV,45-54,Subscribed,High
Education,Japan,Urdu,Wednesday,20-40 min,Shorts Feed,Mobile,35-44,Not Subscribed,Very High
Education,Pakistan,Arabic,Wednesday,>40 min,Playlists,Smart TV,45-54,Subscribed,Medium
Sports,UAE,Bengali,Monday,>40 min,Search,Desktop,25-34,Not Subscribed,Low
Sports,USA,Urdu,Thursday,10-20 min,Browse,Tablet,13-17,Not Subscribed,Low
Music,Germany,Urdu,Sunday,5-10 min,Browse,Desktop,35-44,Subscribed,Very Low
Gaming,India,English,Saturday,>40 min,Browse,Mobile,45-54,Not Subscribed,High
Entertainment,Japan,Bengali,Friday,10-20 min,Notifications,Desktop,18-24,Subscribed,Low
News,UAE,Portuguese,Monday,>40 min,Playlists,Desktop,13-17,Not Subscribed,Low
Sports,Japan,English,Sunday,<5 min,Suggested,Desktop,55+,Not Subscribed,Medium
Music,Pakistan,Bengali,Thursday,5-10 min,Search,Tablet,25-34,Not Subscribed,Very High
Music,UAE,Arabic,Sunday,20-40 min,Shorts Feed,Game Console,13-17,Subscribed,Very Low
Sports,Brazil,French,Friday,>40 min,Browse,Smart TV,25-34,Not Subscribed,Very Low
Sports,UK,Bengali,Tuesday,20-40 min,Search,Smart TV,55+,Not Subscribed,High
Music,India,French,Thursday,<5 min,External,Desktop,35-44,Not Subscribed,Very High
Education,Germany,Urdu,Sunday,5-10 min,Notifications,Desktop,35-44,Not Subscribed,High
Finance,Japan,Arabic,Saturday,>40 min,External,Game Console,45-54,Not Subscribed,High
News,Germany,French,Wednesday,>40 min,Browse,Smart TV,25-34,Subscribed,Low
Sports,USA,Hindi,Friday,5-10 min,Playlists,Game Console,55+,Subscribed,High
Education,Pakistan,Bengali,Thursday,5-10 min,Playlists,Smart TV,25-34,Subscribed,Very High
Technology,Germany,Portuguese,Tuesday,>40 min,Notifications,Mobile,13-17,Subscribed,Medium
Lifestyle,Germany,French,Thursday,>40 min,Suggested,Smart TV,55+,Not Subscribed,High
Gaming,India,Urdu,Thursday,>40 min,Shorts Feed,Smart TV,18-24,Subscribed,Low
Education,Brazil,English,Saturday,20-40 min,Browse,Game Console,25-34,Subscribed,Medium
Technology,India,Portuguese,Monday,5-10 min,Playlists,Desktop,35-44,Not Subscribed,Low
Technology,USA,German,Sunday,20-40 min,Playlists,Desktop,55+,Not Subscribed,Very Low
Lifestyle,Australia,Spanish,Wednesday,10-20 min,External,Tablet,35-44,Subscribed,Very Low
Gaming,UK,Hindi,Tuesday,>40 min,Playlists,Mobile,35-44,Subscribed,Very High
Travel,Japan,English,Thursday,20-40 min,Search,Tablet,55+,Not Subscribed,Medium
Finance,Japan,Urdu,Friday,20-40 min,External,Desktop,25-34,Not Subscribed,Medium
Sports,India,Arabic,Monday,5-10 min,Playlists,Game Console,55+,Subscribed,Medium
Music,India,Spanish,Saturday,>40 min,Playlists,Game Console,35-44,Not Subscribed,Very High
Education,Pakistan,Bengali,Wednesday,20-40 min,Notifications,Game Console,45-54,Not Subscribed,Low
Lifestyle,Japan,Spanish,Saturday,>40 min,Browse,Smart TV,13-17,Not Subscribed,Low
Education,Canada,Hindi,Saturday,5-10 min,Shorts Feed,Desktop,45-54,Not Subscribed,Very Low
Music,Canada,Spanish,Monday,5-10 min,Shorts Feed,Smart TV,35-44,Not Subscribed,Medium
Music,Brazil,Japanese,Friday,20-40 min,Suggested,Smart TV,45-54,Not Subscribed,Low
Travel,UK,Arabic,Thursday,20-40 min,Search,Desktop,18-24,Subscribed,Very High
Travel,Brazil,Arabic,Tuesday,10-20 min,External,Mobile,55+,Subscribed,High
Music,Japan,German,Sunday,5-10 min,Browse,Tablet,55+,Not Subscribed,High
Technology,Pakistan,Portuguese,Tuesday,5-10 min,Playlists,Desktop,35-44,Not Subscribed,Very Low
Education,Germany,Urdu,Tuesday,10-20 min,Notifications,Tablet,55+,Not Subscribed,Low
Education,UK,Japanese,Tuesday,5-10 min,Suggested,Game Console,25-34,Not Subscribed,Very Low
Sports,UK,French,Monday,5-10 min,Browse,Tablet,25-34,Not Subscribed,High
Lifestyle,UAE,German,Friday,20-40 min,External,Mobile,25-34,Subscribed,Very Low
Entertainment,Brazil,Arabic,Friday,<5 min,Browse,Game Console,35-44,Not Subscribed,High
Travel,Canada,Arabic,Thursday,10-20 min,External,Game Console,13-17,Not Subscribed,Medium
Lifestyle,Germany,Portuguese,Thursday,5-10 min,Suggested,Desktop,55+,Subscribed,Very High
Gaming,UK,French,Friday,>40 min,Browse,Tablet,45-54,Not Subscribed,High
Education,USA,Portuguese,Tuesday,5-10 min,Playlists,Game Console,25-34,Not Subscribed,Very High
Finance,Germany,Spanish,Thursday,10-20 min,Search,Smart TV,35-44,Subscribed,Very High
Finance,Pakistan,German,Monday,<5 min,Suggested,Mobile,18-24,Subscribed,Very High
Lifestyle,USA,Hindi,Tuesday,>40 min,External,Mobile,35-44,Subscribed,Very High
Technology,Canada,Urdu,Thursday,>40 min,Notifications,Mobile,25-34,Subscribed,Very Low
Lifestyle,USA,Hindi,Wednesday,5-10 min,Suggested,Smart TV,25-34,Subscribed,Medium
Entertainment,Brazil,English,Tuesday,20-40 min,External,Desktop,45-54,Not Subscribed,Very Low
News,Australia,Urdu,Friday,20-40 min,Playlists,Game Console,25-34,Not Subscribed,Very High
Sports,Pakistan,Japanese,Wednesday,>40 min,Browse,Game Console,45-54,Not Subscribed,Medium
Education,Pakistan,Urdu,Saturday,5-10 min,Playlists,Smart TV,18-24,Subscribed,High
Gaming,Germany,Arabic,Wednesday,10-20 min,Search,Game Console,18-24,Not Subscribed,Low
News,UK,Urdu,Tuesday,<5 min,External,Game Console,55+,Subscribed,Very Low
Entertainment,Pakistan,Hindi,Sunday,<5 min,Notifications,Desktop,13-17,Not Subscribed,Medium
Travel,Germany,French,Wednesday,5-10 min,Search,Desktop,13-17,Subscribed,High
Entertainment,UAE,French,Thursday,5-10 min,Search,Game Console,55+,Subscribed,Medium
Education,Canada,Urdu,Saturday,5-10 min,Suggested,Mobile,18-24,Not Subscribed,Medium
Education,UK,Bengali,Tuesday,20-40 min,Suggested,Tablet,55+,Subscribed,Very High
Sports,India,Spanish,Sunday,<5 min,Shorts Feed,Game Console,13-17,Not Subscribed,Low
News,Brazil,Bengali,Wednesday,>40 min,Notifications,Mobile,55+,Subscribed,Medium
Travel,UAE,French,Monday,5-10 min,Shorts Feed,Desktop,18-24,Not Subscribed,Medium
Entertainment,USA,Hindi,Friday,>40 min,Search,Mobile,18-24,Not Subscribed,Low
Sports,Japan,Urdu,Thursday,<5 min,Suggested,Desktop,45-54,Not Subscribed,Low
Travel,Australia,Arabic,Thursday,<5 min,Suggested,Smart TV,18-24,Not Subscribed,Low
Gaming,India,Spanish,Monday,5-10 min,Notifications,Mobile,55+,Subscribed,Very High
Gaming,Canada,English,Monday,10-20 min,Notifications,Tablet,45-54,Subscribed,Low
Finance,Japan,Bengali,Monday,>40 min,Notifications,Game Console,55+,Subscribed,Very High
Entertainment,Australia,French,Sunday,10-20 min,Suggested,Desktop,13-17,Subscribed,Very High
Finance,USA,Arabic,Tuesday,<5 min,Playlists,Desktop,18-24,Not Subscribed,High
Lifestyle,Canada,Hindi,Thursday,5-10 min,Suggested,Smart TV,55+,Not Subscribed,High
Education,Germany,Hindi,Thursday,<5 min,Search,Desktop,55+,Subscribed,Very High
Gaming,Japan,Japanese,Wednesday,<5 min,Browse,Mobile,13-17,Subscribed,Low
Music,USA,German,Wednesday,10-20 min,Notifications,Tablet,35-44,Subscribed,High
Gaming,Germany,Arabic,Thursday,20-40 min,Browse,Mobile,55+,Not Subscribed,High
News,UK,Urdu,Saturday,20-40 min,Suggested,Desktop,13-17,Not Subscribed,Low
Gaming,Australia,English,Sunday,5-10 min,Playlists,Smart TV,55+,Subscribed,Very Low
Education,Pakistan,Japanese,Sunday,<5 min,Suggested,Game Console,45-54,Not Subscribed,Low
Education,Australia,Portuguese,Sunday,20-40 min,Search,Mobile,25-34,Not Subscribed,High
Finance,Australia,Portuguese,Saturday,>40 min,Suggested,Desktop,18-24,Subscribed,High
Education,USA,Japanese,Monday,10-20 min,Notifications,Mobile,13-17,Not Subscribed,Very Low
Sports,USA,Arabic,Thursday,5-10 min,Suggested,Desktop,18-24,Not Subscribed,Low
Education,Australia,Urdu,Friday,20-40 min,Browse,Tablet,55+,Subscribed,Very High
Music,Canada,Japanese,Wednesday,>40 min,Playlists,Mobile,45-54,Not Subscribed,Low
Music,Japan,Urdu,Friday,5-10 min,Playlists,Tablet,45-54,Not Subscribed,Medium
News,Pakistan,Hindi,Tuesday,>40 min,Shorts Feed,Mobile,45-54,Not Subscribed,Very Low
Technology,Germany,Arabic,Sunday,5-10 min,Shorts Feed,Desktop,35-44,Not Subscribed,Very High
Lifestyle,Canada,Arabic,Saturday,20-40 min,Suggested,Smart TV,45-54,Subscribed,Low
Technology,Japan,English,Monday,10-20 min,Playlists,Desktop,35-44,Not Subscribed,High
News,Japan,French,Thursday,20-40 min,Shorts Feed,Tablet,45-54,Not Subscribed,High
Sports,India,Portuguese,Tuesday,20-40 min,Shorts Feed,Mobile,18-24,Subscribed,High
Technology,India,Japanese,Wednesday,10-20 min,Suggested,Game Console,35-44,Not Subscribed,High
Education,India,French,Wednesday,>40 min,Browse,Mobile,45-54,Subscribed,Very Low
Sports,Germany,Hindi,Wednesday,20-40 min,Suggested,Game Console,13-17,Not Subscribed,Low
Entertainment,India,Hindi,Thursday,>40 min,External,Mobile,13-17,Not Subscribed,High
Education,Canada,Portuguese,Monday,<5 min,Notifications,Game Console,18-24,Not Subscribed,Very Low
News,Pakistan,Urdu,Saturday,10-20 min,External,Tablet,25-34,Subscribed,High
Lifestyle,Canada,Portuguese,Friday,10-20 min,Shorts Feed,Desktop,35-44,Not Subscribed,Very Low
Sports,USA,German,Wednesday,10-20 min,Playlists,Tablet,25-34,Not Subscribed,Very High
News,Australia,Portuguese,Monday,<5 min,Suggested,Mobile,13-17,Subscribed,Very High
Entertainment,UK,Spanish,Thursday,5-10 min,Suggested,Game Console,35-44,Not Subscribed,Medium
Music,India,Japanese,Saturday,5-10 min,External,Game Console,18-24,Not Subscribed,Very Low
Finance,Pakistan,Japanese,Monday,>40 min,Suggested,Tablet,13-17,Subscribed,High
News,USA,Arabic,Monday,<5 min,Suggested,Smart TV,55+,Not Subscribed,Very Low
Technology,Germany,Arabic,Saturday,10-20 min,Notifications,Tablet,18-24,Not Subscribed,High
Education,USA,Portuguese,Tuesday,20-40 min,Notifications,Tablet,55+,Not Subscribed,Very Low
Sports,UK,Bengali,Wednesday,10-20 min,Browse,Game Console,55+,Not Subscribed,High
Finance,Pakistan,French,Tuesday,<5 min,Playlists,Smart TV,55+,Not Subscribed,High
Music,Brazil,Urdu,Tuesday,>40 min,Search,Mobile,13-17,Not Subscribed,Very Low
Travel,Canada,French,Wednesday,20-40 min,Notifications,Tablet,55+,Not Subscribed,Very High
Music,Canada,Urdu,Saturday,<5 min,Shorts Feed,Smart TV,55+,Subscribed,Very High
Technology,UK,Portuguese,Wednesday,>40 min,Notifications,Smart TV,55+,Subscribed,Very Low
Education,India,Japanese,Monday,20-40 min,Notifications,Mobile,18-24,Not Subscribed,Medium
Travel,Australia,Hindi,Saturday,5-10 min,Search,Tablet,45-54,Not Subscribed,Very High
Sports,India,French,Tuesday,5-10 min,Browse,Tablet,18-24,Subscribed,Low
Travel,UK,Arabic,Sunday,20-40 min,Playlists,Tablet,35-44,Not Subscribed,Very High
Lifestyle,India,German,Monday,5-10 min,External,Tablet,35-44,Not Subscribed,High
Travel,India,Hindi,Wednesday,>40 min,Notifications,Desktop,55+,Subscribed,Very High
Travel,USA,Arabic,Sunday,>40 min,Browse,Mobile,55+,Subscribed,High
Finance,India,Hindi,Thursday,<5 min,Search,Tablet,35-44,Not Subscribed,Medium
Entertainment,India,Hindi,Friday,>40 min,Suggested,Mobile,45-54,Not Subscribed,Medium
Sports,UK,French,Sunday,20-40 min,Suggested,Game Console,45-54,Not Subscribed,Low
Technology,Brazil,Japanese,Wednesday,>40 min,Playlists,Smart TV,35-44,Subscribed,Very Low
Travel,Japan,Arabic,Monday,5-10 min,Browse,Desktop,18-24,Not Subscribed,Very Low
Music,India,Arabic,Sunday,<5 min,Notifications,Desktop,18-24,Not Subscribed,High
Finance,UAE,English,Friday,20-40 min,Playlists,Smart TV,35-44,Subscribed,Low
Lifestyle,Australia,Urdu,Saturday,5-10 min,Notifications,Desktop,45-54,Not Subscribed,High
Gaming,Australia,French,Thursday,>40 min,Suggested,Mobile,55+,Subscribed,Very Low
Technology,Brazil,English,Sunday,>40 min,Shorts Feed,Mobile,35-44,Subscribed,Low
Travel,Japan,English,Friday,>40 min,Shorts Feed,Smart TV,55+,Not Subscribed,Very High
Technology,UK,English,Thursday,<5 min,Notifications,Game Console,18-24,Not Subscribed,Very High
Sports,UAE,Spanish,Saturday,20-40 min,External,Tablet,45-54,Not Subscribed,High
Music,UAE,Portuguese,Wednesday,<5 min,Shorts Feed,Smart TV,25-34,Not Subscribed,Medium
Entertainment,Pakistan,Japanese,Tuesday,20-40 min,External,Smart TV,25-34,Not Subscribed,Very Low
Finance,Japan,Spanish,Friday,<5 min,External,Game Console,25-34,Not Subscribed,High
Finance,Pakistan,English,Sunday,<5 min,Suggested,Tablet,25-34,Subscribed,Low
Education,UK,Portuguese,Tuesday,20-40 min,Notifications,Desktop,13-17,Subscribed,Low
Entertainment,Germany,Urdu,Tuesday,10-20 min,External,Desktop,18-24,Subscribed,Very High
Education,Brazil,French,Sunday,<5 min,Playlists,Smart TV,18-24,Not Subscribed,Very Low
Entertainment,Japan,Urdu,Tuesday,5-10 min,Browse,Smart TV,35-44,Not Subscribed,Medium
Gaming,UK,Urdu,Saturday,>40 min,Suggested,Smart TV,55+,Subscribed,Very Low
News,Canada,Portuguese,Saturday,20-40 min,Notifications,Desktop,18-24,Subscribed,High
Entertainment,Canada,German,Wednesday,5-10 min,Suggested,Game Console,25-34,Not Subscribed,Low
Lifestyle,Canada,Japanese,Tuesday,5-10 min,External,Desktop,18-24,Not Subscribed,Very High
Technology,India,English,Tuesday,5-10 min,Playlists,Smart TV,55+,Subscribed,Very Low
Lifestyle,UAE,French,Tuesday,5-10 min,Browse,Mobile,18-24,Not Subscribed,Very Low
Sports,Canada,German,Tuesday,5-10 min,Playlists,Mobile,55+,Subscribed,Very High
Sports,Pakistan,Portuguese,Saturday,<5 min,Suggested,Tablet,55+,Not Subscribed,Very High
Education,Germany,Japanese,Tuesday,20-40 min,Search,Game Console,45-54,Not Subscribed,Very Low
Travel,Australia,Bengali,Saturday,20-40 min,Notifications,Mobile,55+,Not Subscribed,Medium
News,Pakistan,French,Wednesday,5-10 min,Search,Tablet,35-44,Subscribed,High
Finance,UK,Portuguese,Wednesday,<5 min,Browse,Desktop,55+,Subscribed,High
Technology,UAE,Portuguese,Friday,>40 min,Browse,Game Console,18-24,Not Subscribed,Low
Lifestyle,Japan,German,Saturday,>40 min,Search,Desktop,45-54,Not Subscribed,Very High
Finance,Brazil,Arabic,Sunday,5-10 min,Playlists,Desktop,13-17,Not Subscribed,Very Low
Technology,UK,Hindi,Friday,>40 min,Browse,Game Console,55+,Not Subscribed,Medium
News,India,English,Tuesday,10-20 min,Search,Smart TV,35-44,Not Subscribed,Very High
Entertainment,USA,Portuguese,Saturday,20-40 min,Suggested,Tablet,35-44,Not Subscribed,High
Gaming,Germany,Bengali,Friday,>40 min,External,Desktop,18-24,Not Subscribed,Very High
Gaming,USA,German,Friday,10-20 min,Suggested,Tablet,18-24,Not Subscribed,High
Music,UK,Hindi,Wednesday,10-20 min,Notifications,Smart TV,18-24,Not Subscribed,Medium
Technology,UAE,Portuguese,Tuesday,>40 min,Notifications,Tablet,45-54,Not Subscribed,Very High
Sports,USA,German,Friday,>40 min,Browse,Tablet,55+,Not Subscribed,High
News,Australia,Urdu,Tuesday,<5 min,External,Mobile,45-54,Not Subscribed,Low
Education,USA,Spanish,Saturday,<5 min,Search,Desktop,55+,Not Subscribed,Low
Entertainment,Australia,German,Saturday,5-10 min,Browse,Smart TV,55+,Not Subscribed,Low
Music,UK,German,Wednesday,>40 min,External,Tablet,45-54,Subscribed,Very High
Gaming,Australia,Portuguese,Monday,<5 min,Notifications,Mobile,13-17,Subscribed,Medium
Lifestyle,Japan,Portuguese,Thursday,<5 min,Playlists,Smart TV,18-24,Subscribed,High
Sports,Germany,Japanese,Sunday,>40 min,Notifications,Desktop,55+,Not Subscribed,Very High
News,UAE,Urdu,Saturday,10-20 min,Search,Smart TV,35-44,Subscribed,Very High
Education,UAE,German,Thursday,<5 min,External,Tablet,55+,Not Subscribed,Very High
Gaming,USA,French,Wednesday,20-40 min,Shorts Feed,Desktop,55+,Not Subscribed,High
Entertainment,UAE,French,Wednesday,20-40 min,Shorts Feed,Desktop,55+,Subscribed,Very High
Travel,Japan,English,Saturday,10-20 min,Suggested,Game Console,45-54,Subscribed,Medium
Entertainment,Australia,Urdu,Monday,>40 min,Suggested,Smart TV,45-54,Not Subscribed,High
Travel,India,Bengali,Friday,>40 min,Notifications,Desktop,35-44,Not Subscribed,Low
Sports,Pakistan,English,Friday,20-40 min,Notifications,Tablet,45-54,Subscribed,Very High
Education,Australia,Spanish,Saturday,10-20 min,Search,Desktop,18-24,Subscribed,Very High
Finance,UAE,Portuguese,Wednesday,20-40 min,Shorts Feed,Game Console,55+,Subscribed,Medium
Technology,Germany,German,Wednesday,10-20 min,Notifications,Smart TV,45-54,Not Subscribed,Low
Gaming,UK,Hindi,Saturday,10-20 min,External,Mobile,18-24,Not Subscribed,Very Low
Education,Japan,Arabic,Monday,5-10 min,Browse,Tablet,35-44,Not Subscribed,High
Entertainment,USA,French,Friday,<5 min,Suggested,Smart TV,35-44,Not Subscribed,High
Sports,Brazil,Portuguese,Saturday,>40 min,Search,Mobile,35-44,Subscribed,Low
Music,India,Urdu,Monday,5-10 min,Playlists,Game Console,55+,Not Subscribed,Medium
News,Japan,Portuguese,Saturday,>40 min,Playlists,Mobile,55+,Subscribed,Very Low
Sports,India,Urdu,Friday,>40 min,Suggested,Desktop,18-24,Not Subscribed,Low
Lifestyle,Australia,Portuguese,Monday,<5 min,Shorts Feed,Desktop,45-54,Not Subscribed,Medium
Education,USA,Spanish,Friday,10-20 min,Shorts Feed,Smart TV,18-24,Subscribed,Very Low
Education,India,Spanish,Sunday,10-20 min,Shorts Feed,Tablet,35-44,Subscribed,Very High
Gaming,Pakistan,Arabic,Monday,20-40 min,Playlists,Mobile,45-54,Not Subscribed,Very High
Finance,UAE,Hindi,Tuesday,20-40 min,Playlists,Tablet,13-17,Not Subscribed,Medium
Gaming,UAE,Hindi,Saturday,>40 min,Suggested,Game Console,35-44,Not Subscribed,Very Low
Lifestyle,Australia,Japanese,Monday,20-40 min,Search,Game Console,13-17,Not Subscribed,Very High
Music,UAE,German,Saturday,5-10 min,Shorts Feed,Game Console,55+,Not Subscribed,Very Low
Travel,India,Bengali,Thursday,<5 min,Suggested,Game Console,18-24,Subscribed,Low
Gaming,Canada,French,Friday,10-20 min,Suggested,Desktop,13-17,Not Subscribed,Very Low
Education,Canada,Japanese,Sunday,<5 min,External,Smart TV,25-34,Not Subscribed,High
Music,Brazil,French,Friday,<5 min,External,Smart TV,13-17,Subscribed,Low
Entertainment,UK,English,Saturday,5-10 min,Search,Smart TV,45-54,Not Subscribed,Very Low
Entertainment,Pakistan,Japanese,Saturday,<5 min,Suggested,Mobile,13-17,Not Subscribed,Very Low
Gaming,Japan,Hindi,Monday,5-10 min,Shorts Feed,Desktop,55+,Subscribed,Low
Education,UK,Urdu,Wednesday,>40 min,Shorts Feed,Game Console,35-44,Subscribed,Very Low
Entertainment,UK,German,Monday,10-20 min,Shorts Feed,Tablet,45-54,Not Subscribed,Very High
Lifestyle,UAE,Hindi,Sunday,<5 min,Notifications,Smart TV,55+,Subscribed,Very High
Entertainment,Japan,English,Wednesday,10-20 min,Search,Tablet,18-24,Subscribed,Very Low
Music,USA,German,Sunday,20-40 min,Search,Game Console,13-17,Not Subscribed,Medium
Gaming,Japan,English,Wednesday,10-20 min,Playlists,Smart TV,13-17,Subscribed,Very High
Travel,India,French,Monday,>40 min,Shorts Feed,Desktop,25-34,Not Subscribed,Very High
News,Germany,French,Friday,10-20 min,Search,Smart TV,13-17,Not Subscribed,Very High
Education,Australia,Spanish,Saturday,20-40 min,Browse,Tablet,35-44,Not Subscribed,Very High
Lifestyle,Canada,Bengali,Saturday,>40 min,Shorts Feed,Tablet,45-54,Subscribed,High
Sports,UK,Bengali,Wednesday,<5 min,Browse,Desktop,55+,Subscribed,Medium
Finance,Pakistan,Japanese,Sunday,20-40 min,External,Desktop,25-34,Subscribed,Very High
Sports,Brazil,Portuguese,Sunday,20-40 min,Notifications,Mobile,45-54,Not Subscribed,Low
Education,India,Portuguese,Sunday,10-20 min,External,Desktop,45-54,Not Subscribed,Very Low
Travel,Germany,Portuguese,Friday,10-20 min,Notifications,Mobile,18-24,Not Subscribed,Low
Finance,Brazil,Portuguese,Monday,<5 min,Shorts Feed,Smart TV,35-44,Subscribed,Very High
Entertainment,Australia,English,Sunday,5-10 min,Browse,Game Console,45-54,Subscribed,Medium
Entertainment,Japan,Bengali,Saturday,20-40 min,External,Mobile,13-17,Not Subscribed,Medium
Entertainment,UK,Japanese,Saturday,20-40 min,Shorts Feed,Tablet,13-17,Subscribed,Very Low
News,Brazil,Spanish,Tuesday,<5 min,Playlists,Desktop,25-34,Subscribed,Medium
Music,Canada,Urdu,Tuesday,10-20 min,Shorts Feed,Smart TV,13-17,Subscribed,Very High
News,Japan,Bengali,Wednesday,>40 min,External,Mobile,35-44,Subscribed,Very Low
News,USA,Urdu,Sunday,5-10 min,Search,Tablet,55+,Subscribed,Medium
Technology,India,German,Saturday,<5 min,Notifications,Tablet,25-34,Not Subscribed,Very Low
News,UAE,Bengali,Tuesday,10-20 min,Playlists,Desktop,18-24,Subscribed,Low
Gaming,USA,Bengali,Monday,5-10 min,Notifications,Tablet,25-34,Subscribed,Very Low
Sports,India,French,Sunday,<5 min,Shorts Feed,Game Console,35-44,Subscribed,Medium
Technology,Brazil,Japanese,Friday,>40 min,Suggested,Tablet,13-17,Subscribed,Very Low
Gaming,Australia,Arabic,Tuesday,5-10 min,Search,Desktop,35-44,Subscribed,Very High
Gaming,USA,English,Sunday,>40 min,External,Desktop,25-34,Subscribed,High
News,Brazil,Arabic,Sunday,>40 min,Shorts Feed,Smart TV,18-24,Not Subscribed,Medium
Lifestyle,Brazil,Japanese,Wednesday,10-20 min,Shorts Feed,Desktop,35-44,Subscribed,Medium
Lifestyle,Japan,Arabic,Tuesday,5-10 min,Playlists,Smart TV,55+,Subscribed,Medium
Sports,Germany,Spanish,Tuesday,10-20 min,Suggested,Tablet,13-17,Subscribed,High
Lifestyle,Japan,Spanish,Friday,<5 min,Browse,Mobile,18-24,Not Subscribed,Medium
News,Canada,Arabic,Saturday,>40 min,Suggested,Game Console,35-44,Subscribed,Very Low
Sports,Brazil,Portuguese,Thursday,20-40 min,External,Smart TV,55+,Subscribed,Very High
Music,Japan,Arabic,Thursday,10-20 min,Browse,Game Console,35-44,Subscribed,Low
Education,Brazil,Urdu,Tuesday,<5 min,Playlists,Desktop,55+,Not Subscribed,Very High
News,UAE,German,Monday,10-20 min,Shorts Feed,Desktop,35-44,Subscribed,Very Low
Education,Brazil,French,Saturday,<5 min,Browse,Tablet,18-24,Subscribed,Very Low
Education,Australia,Hindi,Wednesday,10-20 min,Browse,Desktop,45-54,Not Subscribed,Medium
News,Brazil,French,Wednesday,5-10 min,Suggested,Mobile,45-54,Not Subscribed,Very Low
Gaming,Pakistan,German,Tuesday,5-10 min,Browse,Game Console,35-44,Subscribed,Very High
Entertainment,UAE,Japanese,Monday,<5 min,Search,Mobile,55+,Subscribed,Medium
Technology,Germany,French,Friday,>40 min,External,Tablet,55+,Not Subscribed,Very High
Entertainment,India,Arabic,Friday,>40 min,Search,Smart TV,45-54,Not Subscribed,Very Low
Music,India,Urdu,Friday,>40 min,Suggested,Smart TV,45-54,Not Subscribed,Low
Travel,Australia,German,Friday,5-10 min,External,Tablet,45-54,Subscribed,Low
Technology,India,Spanish,Tuesday,5-10 min,Suggested,Game Console,25-34,Not Subscribed,Very High
Education,Brazil,English,Wednesday,20-40 min,Suggested,Mobile,25-34,Subscribed,High
Lifestyle,Brazil,French,Thursday,20-40 min,Playlists,Smart TV,25-34,Subscribed,High
Education,Canada,Portuguese,Thursday,20-40 min,Shorts Feed,Tablet,35-44,Subscribed,Very Low
Travel,Australia,Spanish,Tuesday,>40 min,Shorts Feed,Desktop,13-17,Subscribed,Very High
Music,India,Bengali,Sunday,5-10 min,Shorts Feed,Game Console,35-44,Subscribed,High
Lifestyle,Germany,Japanese,Tuesday,20-40 min,Browse,Desktop,45-54,Subscribed,Low
Education,Germany,Urdu,Saturday,>40 min,Shorts Feed,Smart TV,45-54,Subscribed,Very Low
Entertainment,Australia,Portuguese,Monday,10-20 min,Notifications,Tablet,18-24,Subscribed,Low
Technology,Germany,French,Tuesday,10-20 min,Notifications,Tablet,45-54,Subscribed,Very Low
Lifestyle,Germany,Portuguese,Wednesday,<5 min,Suggested,Tablet,18-24,Subscribed,Very Low
Entertainment,Canada,Japanese,Friday,<5 min,External,Mobile,25-34,Subscribed,High
Sports,Japan,Hindi,Monday,20-40 min,Playlists,Tablet,45-54,Not Subscribed,Medium
Lifestyle,Pakistan,Bengali,Wednesday,5-10 min,Search,Game Console,18-24,Not Subscribed,Very High
Technology,India,German,Sunday,20-40 min,Suggested,Smart TV,25-34,Not Subscribed,Low
Travel,Australia,Japanese,Thursday,>40 min,External,Smart TV,35-44,Not Subscribed,Very High
Technology,Pakistan,Arabic,Thursday,<5 min,Suggested,Tablet,13-17,Not Subscribed,Medium
Finance,India,Bengali,Wednesday,5-10 min,Shorts Feed,Game Console,13-17,Not Subscribed,Low
Entertainment,Brazil,Spanish,Tuesday,5-10 min,Notifications,Game Console,13-17,Not Subscribed,High
Gaming,Pakistan,English,Monday,<5 min,Search,Mobile,18-24,Subscribed,Medium
Sports,Japan,English,Wednesday,10-20 min,Suggested,Desktop,35-44,Not Subscribed,High
Finance,UK,Hindi,Wednesday,>40 min,Notifications,Mobile,13-17,Subscribed,Very High
Entertainment,India,Portuguese,Sunday,10-20 min,Shorts Feed,Smart TV,55+,Subscribed,Medium
Finance,UAE,Hindi,Wednesday,20-40 min,Suggested,Game Console,55+,Subscribed,High
Travel,UAE,Bengali,Thursday,20-40 min,Playlists,Desktop,35-44,Not Subscribed,Low
